#x  FES  der_FES_x
-3.0 34.5722739933 -72.1208844937
-2.93939393939 30.2013112967 -69.020610045
-2.87878787879 26.2061394424 -62.9664700191
-2.81818181818 22.5690119005 -57.202130865
-2.75757575758 19.2725478224 -51.7215616208
-2.69696969697 16.299731704 -46.5187372068
-2.63636363636 13.6339130094 -41.5876391056
-2.57575757576 11.2588057518 -36.9222561179
-2.51515151515 9.15848802546 -32.5165851987
-2.45454545455 7.3174014853 -28.3646323774
-2.39393939394 5.7203507676 -24.4604137614
-2.33333333333 4.35250284755 -20.7979566206
-2.27272727273 3.19938632874 -17.3713005403
-2.21212121212 2.24689066084 -14.1744986237
-2.15151515152 1.48126528344 -11.2016187072
-2.09090909091 0.889118696329 -8.44674453373
-2.0303030303 0.457417461168 -5.9039767966
-1.9696969697 0.173485145226 -3.56743392831
-1.90909090909 0.0250012274334 -1.43125244811
-1.84848484848 0.0 0.510413393747
-1.78787878788 0.0868695175846 2.26339304314
-1.72727272727 0.274350671896 3.8335026464
-1.66666666667 0.551536505027 5.22655031595
-1.60606060606 0.907871922315 6.44834456383
-1.54545454545 1.33315402792 7.50470707492
-1.48484848485 1.81753338594 8.40149128691
-1.42424242424 2.35151660815 9.14460852696
-1.36363636364 2.92597078315 9.74006362851
-1.30303030303 3.5321303813 10.1940017868
-1.24242424242 4.16160736337 10.51276735
-1.18181818182 4.8064052116 10.7029717926
-1.12121212121 5.45893727762 10.7715580352
-1.06060606061 6.11204860981 10.7258192674
-1.0 6.75903658276 10.5732491396
-0.939393939394 7.39365456612 10.3208893136
-0.878787878788 8.01005346926 9.97337307689
-0.818181818182 8.60254827241 9.5281082898
-0.757575757576 9.16497568621 8.96569208336
-0.69696969697 9.68929882797 8.23656473972
-0.636363636364 10.1633471698 7.2568442183
-0.575757575758 10.568916309 5.94637505585
-0.515151515152 10.8841199039 4.33104359029
-0.454545454545 11.0938912896 2.62983068416
-0.393939393939 11.2028872595 1.17237267053
-0.333333333333 11.2359970679 0.181459483145
-0.272727272727 11.2248823484 -0.336931495552
-0.212121212121 11.1951568866 -0.516581210533
-0.151515151515 11.1622664441 -0.51245566652
-0.0909090909091 11.1330410482 -0.443239236009
-0.030303030303 11.1085404761 -0.385121645154
0.030303030303 11.0863596367 -0.382694932101
0.0909090909091 11.0621532116 -0.460056618371
0.151515151515 11.0305951981 -0.628214053979
0.212121212121 10.9860060535 -0.889291097416
0.272727272727 10.9228023378 -1.23881637111
0.333333333333 10.8358464934 -1.66720355622
0.393939393939 10.7207170583 -2.16113440759
0.454545454545 10.5738908076 -2.70505610451
0.515151515152 10.3928314698 -3.28257605133
0.575757575758 10.1760028014 -3.87740871065
0.636363636364 9.92284253521 -4.47374250923
0.69696969697 9.63373098209 -5.05621203455
0.757575757576 9.30996834921 -5.60979495221
0.818181818182 8.95375583636 -6.1198431943
0.878787878788 8.56816917414 -6.57226323231
0.939393939394 8.15711786881 -6.95374611637
1.0 7.725290857 -7.25194800754
1.06060606061 7.2780938679 -7.45557574107
1.12121212121 6.82158470657 -7.55437969187
1.18181818182 6.362411481 -7.53907832873
1.24242424242 5.90775703036 -7.40124207578
1.30303030303 5.46529122939 -7.13315935515
1.36363636364 5.04313165398 -6.7277012595
1.42424242424 4.64981228885 -6.17819547117
1.48484848485 4.29425947565 -5.47831535774
1.54545454545 3.98577406367 -4.62198668341
1.60606060606 3.73401866554 -3.60331198723
1.66666666667 3.54900897431 -2.41651122083
1.72727272727 3.44110821453 -1.05587649592
1.78787878788 3.4210239445 0.484261449324
1.84848484848 3.49980657203 2.20955738307
1.90909090909 3.68884908184 4.12566838512
1.9696969697 3.99988758841 6.23826508231
2.0303030303 4.44500242515 8.5530387458
2.09090909091 5.0366195576 11.0757053824
2.15151515152 5.78751216847 13.8120076924
2.21212121212 6.71080230818 16.7677155532
2.27272727273 7.81996253855 19.948625518
2.33333333333 9.12881752248 23.360559684
2.39393939394 10.6515455305 27.009364187
2.45454545455 12.4026798482 30.9009074993
2.51515151515 14.3971100759 35.0410786555
2.57575757576 16.6500833216 39.4357854868
2.63636363636 19.1772052864 44.0909529179
2.69696969697 21.994441251 49.0125213574
2.75757575758 25.1181169661 54.2064451996
2.81818181818 28.564919457 59.6786914456
2.87878787879 32.3518977474 65.4352384434
2.93939393939 36.4964635108 71.4820747455
3.0 41.016391656 74.5788143955
