#x  FES  der_FES_x
-2.23123123123 11.6486241841 -36.0145878205
-2.22522522523 11.4338347639 -35.5119565076
-2.21921921922 11.222054136 -35.012655806
-2.21321321321 11.0132623218 -34.5166773597
-2.20720720721 10.8074393929 -34.0240128219
-2.2012012012 10.6045654711 -33.5346538551
-2.1951951952 10.404620728 -33.0485921316
-2.18918918919 10.2075853854 -32.5658193331
-2.18318318318 10.013439715 -32.0863271514
-2.17717717718 9.82216403823 -31.6101072885
-2.17117117117 9.63373872651 -31.1371514566
-2.16516516517 9.44814420091 -30.6674513785
-2.15915915916 9.26536093218 -30.200998788
-2.15315315315 9.08536944069 -29.7377854296
-2.14714714715 8.90815029639 -29.2778030591
-2.14114114114 8.73368411866 -28.8210434439
-2.13513513514 8.56195157634 -28.3674983629
-2.12912912913 8.39293338758 -27.9171596072
-2.12312312312 8.2266103198 -27.4700189797
-2.11711711712 8.06296318962 -27.0260682962
-2.11111111111 7.90197286279 -26.5852993848
-2.10510510511 7.74362025407 -26.1477040868
-2.0990990991 7.58788632721 -25.7132742567
-2.09309309309 7.43475209483 -25.2820017624
-2.08708708709 7.28419861835 -24.8538784858
-2.08108108108 7.13620700791 -24.4288963227
-2.07507507508 6.99075842228 -24.0070471835
-2.06906906907 6.84783406877 -23.5883229931
-2.06306306306 6.70741520315 -23.1727156915
-2.05705705706 6.56948312954 -22.760217234
-2.05105105105 6.43401920034 -22.3508195915
-2.04504504505 6.30100481612 -21.9445147511
-2.03903903904 6.17042142555 -21.5412947161
-2.03303303303 6.04225052524 -21.1411515063
-2.02702702703 5.91647365971 -20.7440771589
-2.02102102102 5.79307242123 -20.3500637283
-2.01501501502 5.67202844976 -19.9591032866
-2.00900900901 5.5533234328 -19.5711879242
-2.003003003 5.43693910532 -19.18630975
-1.996996997 5.32285724962 -18.804460892
-1.99099099099 5.21105969521 -18.4256334975
-1.98498498498 5.10152831872 -18.0498197333
-1.97897897898 4.99424504376 -17.677011787
-1.97297297297 4.8891918408 -17.3072018663
-1.96696696697 4.78635072704 -16.9403822005
-1.96096096096 4.68570376632 -16.57654504
-1.95495495495 4.58723306891 -16.2156826576
-1.94894894895 4.49092079145 -15.8577873487
-1.94294294294 4.39674913679 -15.5028514313
-1.93693693694 4.30470035384 -15.1508672474
-1.93093093093 4.21475673742 -14.8018271627
-1.92492492492 4.12690062816 -14.4557235679
-1.91891891892 4.04111441228 -14.1125488783
-1.91291291291 3.95738052151 -13.7722955353
-1.90690690691 3.87568143288 -13.4349560065
-1.9009009009 3.79599966858 -13.1005227862
-1.89489489489 3.71831779581 -12.7689883961
-1.88888888889 3.64261842658 -12.4403453862
-1.88288288288 3.5688842176 -12.1145863348
-1.87687687688 3.49709787001 -11.7917038499
-1.87087087087 3.42724212931 -11.4716905692
-1.86486486486 3.3592997851 -11.154539161
-1.85885885886 3.29325367092 -10.8402423251
-1.85285285285 3.22908666407 -10.5287927932
-1.84684684685 3.16678168541 -10.2201833296
-1.84084084084 3.10632169915 -9.91440673232
-1.83483483483 3.04768971265 -9.61145583332
-1.82882882883 2.99086877623 -9.3113234997
-1.82282282282 2.93584198293 -9.01400263421
-1.81681681682 2.88259246831 -8.71948617622
-1.81081081081 2.83110341024 -8.42776710241
-1.8048048048 2.78135802864 -8.13883842771
-1.7987987988 2.73333958528 -7.85269320608
-1.79279279279 2.68703138352 -7.56932453143
-1.78678678679 2.64241676809 -7.28872553851
-1.78078078078 2.5994791248 -7.01088940381
-1.77477477477 2.55820188035 -6.73580934649
-1.76876876877 2.51856850202 -6.46347862937
-1.76276276276 2.48056249742 -6.19389055987
-1.75675675676 2.44416741422 -5.92703849105
-1.75075075075 2.40936683987 -5.66291582259
-1.74474474474 2.37614440133 -5.40151600183
-1.73873873874 2.34448376477 -5.1428325249
-1.73273273273 2.31436863527 -4.88685893773
-1.72672672673 2.28578275651 -4.63358883722
-1.72072072072 2.2587099105 -4.38301587232
-1.71471471471 2.2331339172 -4.13513374528
-1.70870870871 2.20903863428 -3.88993621272
-1.7027027027 2.18640795669 -3.64741708695
-1.6966966967 2.16522581642 -3.40757023713
-1.69069069069 2.14547618207 -3.17038959056
-1.68468468468 2.12714305857 -2.93586913398
-1.67867867868 2.11021048677 -2.70400291486
-1.67267267267 2.09466254308 -2.47478504276
-1.66666666667 2.08048333911 -2.24820969069
-1.66066066066 2.06765702127 -2.02427109652
-1.65465465465 2.05616777038 -1.8029635644
-1.64864864865 2.04599980127 -1.5842814662
-1.64264264264 2.03713736238 -1.36821924302
-1.63663663664 2.02956473529 -1.15477140669
-1.63063063063 2.02326623437 -0.943932541329
-1.62462462462 2.01822620627 -0.735697304891
-1.61861861862 2.01442902951 -0.53006043081
-1.61261261261 2.011859114 -0.327016729623
-1.60660660661 2.01050090062 -0.126561090642
-1.6006006006 2.01033886066 0.0713115163333
-1.59459459459 2.01135749541 0.266606039275
-1.58858858859 2.01354133561 0.459327342147
-1.58258258258 2.01687494096 0.64948020309
-1.57657657658 2.02134289961 0.837069312568
-1.57057057057 2.0269298276 1.02209927148
-1.56456456456 2.03362036834 1.20457458921
-1.55855855856 2.04139919204 1.38449968167
-1.55255255255 2.05025099514 1.56187886927
-1.54654654655 2.06016049977 1.73671637484
-1.54054054054 2.0711124531 1.90901632149
-1.53453453453 2.08309162676 2.0787827305
-1.52852852853 2.09608281623 2.24601951902
-1.52252252252 2.1100708402 2.41073049778
-1.51651651652 2.12504053993 2.57291936879
-1.51051051051 2.14097677856 2.7325897228
-1.5045045045 2.1578644405 2.88974503688
-1.4984984985 2.17568843066 3.04438867176
-1.49249249249 2.1944336738 3.19652386911
-1.48648648649 2.21408511377 3.34615374875
-1.48048048048 2.23462771282 3.49328130571
-1.47447447447 2.25604645078 3.63790940711
-1.46846846847 2.27832632432 3.78004078896
