#two_basins three_basins four_basins round_trip
55.000000 460.000000 5335.000000 6245.000000
47.500000 167.500000 495.000000 650.000000
85.000000 360.000000 577.500000 660.000000
97.500000 592.500000 1110.000000 1532.500000
92.500000 537.500000 10817.500000 11110.000000
60.000000 397.500000 557.500000 765.000000
60.000000 262.500000 1645.000000 1712.500000
20.000000 325.000000 812.500000 1037.500000
77.500000 447.500000 1537.500000 1865.000000
30.000000 472.500000 705.000000 977.500000
60.000000 422.500000 942.500000 1140.000000
85.000000 502.500000 26427.500000 28570.000000
70.000000 737.500000 6410.000000 6900.000000
60.000000 412.500000 4427.500000 4577.500000
70.000000 655.000000 5055.000000 6205.000000
35.000000 300.000000 490.000000 585.000000
75.000000 257.500000 1967.500000 2350.000000
55.000000 535.000000 1290.000000 1647.500000
95.000000 487.500000 6710.000000 7472.500000
72.500000 485.000000 1077.500000 1245.000000
72.500000 227.500000 457.500000 522.500000
47.500000 435.000000 4050.000000 4880.000000
80.000000 425.000000 9512.500000 9770.000000
47.500000 347.500000 927.500000 1247.500000
57.500000 355.000000 3810.000000 4355.000000
70.000000 397.500000 1412.500000 1527.500000
45.000000 407.500000 2070.000000 2752.500000
82.500000 327.500000 810.000000 1022.500000
32.500000 372.500000 790.000000 972.500000
52.500000 302.500000 4907.500000 5712.500000
47.500000 422.500000 2787.500000 3010.000000
40.000000 492.500000 1735.000000 2102.500000
55.000000 462.500000 987.500000 1347.500000
65.000000 170.000000 740.000000 932.500000
50.000000 200.000000 657.500000 797.500000
60.000000 307.500000 20960.000000 21537.500000
37.500000 177.500000 4610.000000 4900.000000
27.500000 230.000000 422.500000 555.000000
50.000000 282.500000 11845.000000 13242.500000
82.500000 190.000000 555.000000 785.000000
27.500000 537.500000 1380.000000 1677.500000
77.500000 345.000000 7795.000000 8120.000000
22.500000 117.500000 425.000000 565.000000
57.500000 477.500000 1185.000000 1300.000000
62.500000 260.000000 400.000000 425.000000
80.000000 387.500000 8125.000000 8927.500000
30.000000 327.500000 1335.000000 1582.500000
60.000000 347.500000 4542.500000 5537.500000
47.500000 465.000000 687.500000 990.000000
67.500000 230.000000 382.500000 440.000000
30.000000 377.500000 1215.000000 1690.000000
90.000000 557.500000 5632.500000 5925.000000
87.500000 417.500000 2107.500000 2770.000000
37.500000 465.000000 1322.500000 1715.000000
62.500000 190.000000 340.000000 382.500000
77.500000 342.500000 452.500000 660.000000
47.500000 262.500000 657.500000 837.500000
42.500000 505.000000 3110.000000 3467.500000
77.500000 280.000000 1417.500000 1760.000000
85.000000 762.500000 3345.000000 3705.000000
85.000000 182.500000 302.500000 375.000000
17.500000 255.000000 505.000000 535.000000
127.500000 467.500000 937.500000 1027.500000
40.000000 162.500000 260.000000 352.500000
60.000000 365.000000 770.000000 1100.000000
47.500000 647.500000 4030.000000 4580.000000
45.000000 470.000000 2215.000000 2460.000000
32.500000 162.500000 812.500000 980.000000
40.000000 572.500000 757.500000 1037.500000
55.000000 385.000000 4117.500000 4747.500000
50.000000 612.500000 5192.500000 6320.000000
62.500000 465.000000 2240.000000 2577.500000
37.500000 95.000000 230.000000 387.500000
57.500000 485.000000 4707.500000 5747.500000
57.500000 427.500000 4915.000000 5632.500000
47.500000 620.000000 7862.500000 8657.500000
52.500000 612.500000 1685.000000 1957.500000
27.500000 37.500000 545.000000 772.500000
60.000000 345.000000 2280.000000 2665.000000
52.500000 320.000000 2722.500000 3020.000000
95.000000 222.500000 417.500000 615.000000
67.500000 245.000000 400.000000 570.000000
52.500000 477.500000 765.000000 937.500000
12.500000 170.000000 660.000000 757.500000
47.500000 355.000000 552.500000 782.500000
35.000000 272.500000 452.500000 595.000000
47.500000 290.000000 3082.500000 3372.500000
57.500000 157.500000 342.500000 512.500000
45.000000 340.000000 437.500000 530.000000
27.500000 150.000000 575.000000 742.500000
42.500000 360.000000 640.000000 650.000000
12.500000 272.500000 440.000000 557.500000
90.000000 480.000000 1235.000000 1525.000000
60.000000 302.500000 570.000000 700.000000
27.500000 362.500000 500.000000 665.000000
55.000000 395.000000 15440.000000 16775.000000
60.000000 385.000000 595.000000 655.000000
15.000000 282.500000 425.000000 525.000000
45.000000 330.000000 542.500000 855.000000
42.500000 887.500000 4405.000000 5120.000000
